,0
58,전 몸이 많이 건조해 가려움증에 시달려 샤워 후 바로 바르려고 구매했어요 이제 번 사용했는 뎌 나름 만족합니다 진정을 잘 시켜주는지 확실히 가려움이 덜 하네요 향도 쑥 향이 강할까 걱정했는데 상큼한 향이 더 나서 만족합니다   바르면 뽀송한 토너가 아니라서 더 만족해요 적당한 유분기와 촉촉함이 동반되어 좋네요
59,여름이라 기존 사용 화장품이 너무 끈적하게 느껴져서 토너를 검색했어요 대용량에이라 구매 결정 여름이라 마음껏 사용하기 좋네요 화장솜에 듬뿍 묻혀 싹싹 닦아 냈더니 여기서 본 후기처럼 좀 따갑네요 다음번엔 을 좀 더 빼고 닦아냈더니 덜하네요 적응하는 건지 조절인지 여름 내내 잘 쓰겠습니다
60,일단 대용량이라 너무 좋고요 냄새도 시트러스 계열이라 저는 그냥 괜찮았어요 닥터로 사용하기 좋고 트러블은 안 생기는 거 같은데 아직 오래 쓰지 않아서 뭐라 말하기가 애매하네요 저렴한 가격에 닥터 찾으시는 분들께 추천드립니다
61,배송 엄청 빨랐고요 받아보니까 용량 진짜 대박이네요 어느 정도 예상은 했는데 생각한 것보다 더 짐승 용량이에요 붉게 자극 있다는 글이 있어서 걱정했는데 저는 괜찮네요 상쾌하게 닦이는 토너에요 쑥 토너라 쑥 향 심할까 봐 걱정했는데 라벤더랑 캐모마일향이더라구요거부감없이쓰기좋아요워낙대용량이라서 냉장고에 넣어두고 화장솜으로 팩할 때 사용하기 딱 좋을 것 같아요
62,상품평 보고 구매했습니다 스킨  크림 두 세트 구매했는데 타사보다 저렴해요 게다가 사은품도 넣어주셨네요 개별 뽁뽁이 포장으로 해주시는 꼼꼼한 센스에도 감동했습니다 유통기한 스킨은 연월 크림은 연월까지네요 충분히 사용할 수 있습니다
63,향이 굉장히 강해요 허브 레몬 처음엔 좀 향이 세서 놀랬는데 점점 이 향에 만족하고 있고 아침엔 닦아내고 저녁엔 팩처럼 붙이고 활용하는데 알코올처럼 날아가는 토너가 아니라 오래 촉촉해요 그리고 좀 진정되는 거 같습니다 대용량이라 너무 좋고요 향 땜에 호불호 있을 수도 있지만 저는 좋습니다
64,전에 한번 써봤던 거라  하고 있어서 저렴하게 구매했어요 통하나에 겉에 검은 이물질이 묻어있어서 좀 그랬는데 통안에는 이물질은 없었네요 전에 사용했을 때 얼굴에 트러블 없이 넉넉하게 팍팍 사용했었어요 이번에도 괜찮으리라 생각합니다
65,열었을 때 누군가 쓰던 제품 같은 이 느낌 토너는 가득 담겨 있는데 수분크림은 공기가 좀 많이 담겨 있네요 대부분 화장품이 뭔가 움푹 파진 듯한 느낌은 한 번도 가진 적이 없는데 이 제품은 누가 쓰던 것인가 충격이 좀 컸습니다 첨 써보는데 수분크림인지 유분 크림인지 모르겠어요 이 수분 크림 바르고 딴 것은 안 바르는 것이 좋을 것 같습니다 이것만 발라도  가 기름으로 잔뜩 평소에는 반 장 정도인데 이 제품 바르고 나자마자 번들거리고 해서 써봤더니 한 장 가지고는 안되네요 재구매 하고 싶었는데 조금 더 써봐야 할 듯합니다
66,피부가 굉장히 촉촉해요 트러블은 하루 이틀 갖고 가라앉는 게 아닌 거 같고 꾸준히 사용하니 케어가 잘 되더라고요 묵은 각질제가 가 잘되고 화장솜으로 닦는 토너로 매일 안 했다가 닦는 토너로 쓰니 좋았어요 양도 많아서 하나는 친언니 줘서 나눠쓰고 있으오 언니뿐만 아니라 써본 사람들이 다들 좋대요 내 토너 여러 명이 그렇게 써봤어요 빌려줘 봐서 좋다네요 나도 만족스러워요
67,냄새가 약간 식초 냄새 이게 쑥 향인가요 스킨 발림은 찐득한 감이 있어요 피부 진정이라고 떡하니 쓰여있는데 오히려 좀 자극적이었어요 싸고 양 많고 구성비 제품이라고 생각했었는데 그렇지는 않네요 참고해서 사용하시길 바라요
